Cartera,IMPORTE,Des_Estado,Nombre
CA06,261,Cerrada,ACC PARA CAÑERIAS
CA05,551,Cerrada,CONECTORES
CA04,676,Cerrada,Tapones Purgadores
CA04,727,Cerrada,CONECTORES
CA06,929,Cerrada,REPUESTOS
CA04,937,Cerrada,CONECTORES
CA06,1079,Cerrada,VALV INTEGRAL
CA06,1079,Cerrada,VM
CA04,1086,Cerrada,CONECTORES
CA06,1127,Cerrada,CONECTORES
CA04,1268,Cerrada,CONECTORES
CA04,1391,Cerrada,ACC PARA CAÑERIAS
CA06,1438,Cerrada,ACC PARA CAÑERIAS
CA04,1474,Cerrada,ACC PARA CAÑERIAS
CA04,1495,Cerrada,CONECTORES
CA06,1501,Cerrada,ACC PARA CAÑERIAS
CA06,1624,Cerrada,ACC PARA CAÑERIAS
CA04,1647,Cerrada,ACC. ALTA PRESION
CA03,1678,Cerrada,ACC PARA CAÑERIAS
CA03,1731,Cerrada,ACC PARA CAÑERIAS
CA06,1736,Cerrada,ACC. ALTA PRESION
CA05,1774,Cerrada,ARTICULO ESPECIAL
CA06,1796,Cerrada,CONECTORES
CA04,1797,Cerrada,Tapones Purgadores
CA03,1856,Cerrada,CONECTORES
CA04,1920,Cerrada,ACCESORIOS VARIOS
CA05,2074,Cerrada,ACC PARA CAÑERIAS
CA03,2084,Cerrada,ACC PARA CAÑERIAS
CA05,2091,Cerrada,CONECTORES
CA05,2091,Cerrada,TUBING
CA06,2120,Cerrada,CONECTORES
CA05,2159,Cerrada,CONECTORES
CA06,2163,Cerrada,REPUESTOS
CA05,2224,Cerrada,ACC PARA CAÑERIAS
CA05,2251,Cerrada,AMORTIGUADOR
CA04,2281,Cerrada,CONECTORES
CA04,2344,Cerrada,ACC PARA CAÑERIAS
CA05,2384,Cerrada,CONECTORES
CA06,2478,Cerrada,CONECTORES
CA06,2480,Cerrada,ACC PARA CAÑERIAS
CA04,2575,Cerrada,CONECTORES
CA06,2587,Cerrada,ACC. ALTA PRESION
CA05,2620,Cerrada,CONECTORES
CA04,2793,Cerrada,VF2
CA05,2826,Cerrada,CONECTORES
CA04,2840,Cerrada,CONECTORES
CA03,2842,Cerrada,VALV DE RETENCION
CA06,2872,Cerrada,CONECTORES
CA04,2875,Cerrada,ACCESORIOS VARIOS
CA06,2934,Cerrada,VALV DE RETENCION
CA03,2939,Cerrada,ACC. ALTA PRESION
CA06,2988,Cerrada,VA1/VAP/VHP
CA06,3023,Cerrada,ACC PARA CAÑERIAS
CA06,3072,Cerrada,VALV DE ALIVIO
CA04,3098,Cerrada,AMORTIGUADOR
